timestep,year,month,et
1,1,1,75.39036014
2,1,2,71.02294252
3,1,3,62.66390619
4,1,4,15.58180065
5,1,5,0.755709105
6,1,6,0
7,1,7,0
8,1,8,0
9,1,9,0
10,1,10,68.41962231
11,1,11,75.21333721
12,1,12,70.99891462
13,2,1,75.8954352
14,2,2,71.1006549
15,2,3,62.04988507
16,2,4,20.95979073
17,2,5,1.284146232
18,2,6,0
19,2,7,0
20,2,8,0
21,2,9,2.190387497
22,2,10,46.19232343
23,2,11,86.11843722
24,2,12,66.35009476
25,3,1,76.72406369
26,3,2,70.67352123
27,3,3,22.15511171
28,3,4,10.0416415
29,3,5,0.355674282
30,3,6,0
31,3,7,0
32,3,8,0
33,3,9,0.490209889
34,3,10,58.9770682
35,3,11,85.69820161
36,3,12,65.43986139
37,4,1,74.96168828
38,4,2,48.20967315
39,4,3,8.825159827
40,4,4,0.286055114
41,4,5,0
42,4,6,0
43,4,7,0
44,4,8,2.636725997
45,4,9,0.816805397
46,4,10,35.53170096
47,4,11,67.611865
48,4,12,73.81823197
49,5,1,75.41027086
50,5,2,56.49186206
51,5,3,37.92649691
52,5,4,3.999130163
53,5,5,9.387391942
54,5,6,0.328293517
55,5,7,0
56,5,8,0
57,5,9,17.44167013
58,5,10,39.50637743
59,5,11,76.45010254
60,5,12,68.80827364
61,6,1,70.21881898
62,6,2,69.88798669
63,6,3,47.91933282
64,6,4,8.490356421
65,6,5,9.779280648
66,6,6,0.352039013
67,6,7,0
68,6,8,14.38756724
69,6,9,10.81704227
70,6,10,12.43817443
71,6,11,71.05449965
72,6,12,74.18524885
