timestep,year,month,ground_storage
1,1,1,225.7821584
2,1,2,268.5735306
3,1,3,221.1202759
4,1,4,148.6056263
5,1,5,99.56576963
6,1,6,66.70906565
7,1,7,44.69507399
8,1,8,29.94569957
9,1,9,20.06361871
10,1,10,65.07785528
11,1,11,118.2785702
12,1,12,164.5955077
13,2,1,234.5682188
14,2,2,273.154453
15,2,3,222.8053054
16,2,4,151.0485333
17,2,5,101.2025173
18,2,6,67.80568661
19,2,7,45.42981003
20,2,8,30.43797272
21,2,9,20.48089323
22,2,10,33.54768698
23,2,11,158.6023365
24,2,12,223.1171549
25,3,1,267.433016
26,3,2,297.9063226
27,3,3,199.6420325
28,3,4,134.756676
29,3,5,90.28697294
30,3,6,60.49227187
31,3,7,40.52982215
32,3,8,27.15498084
33,3,9,18.20157503
34,3,10,47.29715165
35,3,11,162.2254746
36,3,12,162.3030463
37,4,1,220.7473013
38,4,2,168.3218938
39,4,3,112.8262948
40,4,4,75.59361748
41,4,5,50.64772371
42,4,6,33.93397489
43,4,7,22.73576318
44,4,8,15.35996847
45,4,9,10.30750546
46,4,10,18.25084674
47,4,11,69.52811012
48,4,12,171.2611541
49,5,1,216.2003955
50,5,2,182.4090818
51,5,3,133.3460531
52,5,4,89.34185556
53,5,5,60.95334241
54,5,6,40.83873942
55,5,7,27.36195541
56,5,8,18.33251012
57,5,9,15.32724216
58,5,10,24.11637861
59,5,11,101.366935
60,5,12,141.128136
61,6,1,215.6947567
62,6,2,239.5747515
63,6,3,177.0797
64,6,4,118.7719428
65,6,5,80.72286389
66,6,6,54.08431881
67,6,7,36.2364936
68,6,8,26.63923729
69,6,9,19.0306685
70,6,10,14.27268674
71,6,11,78.11714216
72,6,12,161.6746943
