timestep,year,month,gated_release
1,1,1,752.9067687
2,1,2,695.3424586
3,1,3,1426.906769
4,1,4,731.9742923
5,1,5,752.9067687
6,1,6,731.9742923
7,1,7,752.9067687
8,1,8,752.9067687
9,1,9,731.9742923
10,1,10,752.9067687
11,1,11,731.9742923
12,1,12,752.9067687
13,2,1,752.9067687
14,2,2,695.3424586
15,2,3,1426.906769
16,2,4,731.9742923
17,2,5,752.9067687
18,2,6,731.9742923
19,2,7,752.9067687
20,2,8,752.9067687
21,2,9,731.9742923
22,2,10,752.9067687
23,2,11,731.9742923
24,2,12,752.9067687
25,3,1,752.9067687
26,3,2,695.3424586
27,3,3,1426.906769
28,3,4,731.9742923
29,3,5,752.9067687
30,3,6,731.9742923
31,3,7,752.9067687
32,3,8,752.9067687
33,3,9,731.9742923
34,3,10,752.9067687
35,3,11,731.9742923
36,3,12,752.9067687
37,4,1,752.9067687
38,4,2,695.3424586
39,4,3,1426.906769
40,4,4,731.9742923
41,4,5,752.9067687
42,4,6,731.9742923
43,4,7,752.9067687
44,4,8,752.9067687
45,4,9,731.9742923
46,4,10,752.9067687
47,4,11,731.9742923
48,4,12,752.9067687
49,5,1,752.9067687
50,5,2,695.3424586
51,5,3,1426.906769
52,5,4,731.9742923
53,5,5,752.9067687
54,5,6,731.9742923
55,5,7,752.9067687
56,5,8,752.9067687
57,5,9,731.9742923
58,5,10,752.9067687
59,5,11,731.9742923
60,5,12,752.9067687
61,6,1,752.9067687
62,6,2,695.3424586
63,6,3,1426.906769
64,6,4,731.9742923
65,6,5,752.9067687
66,6,6,731.9742923
67,6,7,752.9067687
68,6,8,752.9067687
69,6,9,731.9742923
70,6,10,752.9067687
71,6,11,731.9742923
72,6,12,752.9067687
