timestep,year,month,spilled_release
1,1,1,0
2,1,2,1761.122625
3,1,3,3003.294416
4,1,4,614.3078308
5,1,5,948.4398065
6,1,6,376.3959929
7,1,7,24.62555855
8,1,8,0
9,1,9,0
10,1,10,0
11,1,11,0
12,1,12,0
13,2,1,0
14,2,2,875.0700324
15,2,3,2659.054677
16,2,4,649.0862508
17,2,5,961.2460301
18,2,6,394.9620862
19,2,7,37.06484103
20,2,8,0
21,2,9,0
22,2,10,0
23,2,11,0
24,2,12,0
25,3,1,16347.85698
26,3,2,2037.045121
27,3,3,3981.936175
28,3,4,837.0812847
29,3,5,785.2051565
30,3,6,271.1439708
31,3,7,0
32,3,8,0
33,3,9,0
34,3,10,0
35,3,11,0
36,3,12,0
37,4,1,0
38,4,2,0
39,4,3,720.9852365
40,4,4,0
41,4,5,0
42,4,6,0
43,4,7,0
44,4,8,0
45,4,9,0
46,4,10,0
47,4,11,0
48,4,12,0
49,5,1,710.3550481
50,5,2,773.0096248
51,5,3,947.7779778
52,5,4,0
53,5,5,240.657975
54,5,6,0
55,5,7,0
56,5,8,0
57,5,9,0
58,5,10,0
59,5,11,0
60,5,12,0
61,6,1,0
62,6,2,8128.658219
63,6,3,1131.13301
64,6,4,393.7615101
65,6,5,613.731429
66,6,6,149.6599982
67,6,7,0
68,6,8,0
69,6,9,0
70,6,10,0
71,6,11,0
72,6,12,0
