timestep,year,month,streamflow
1,1,1,4659.452266
2,1,2,3698.701117
3,1,3,2041.314598
4,1,4,1680.514097
5,1,5,1129.40276
6,1,6,756.6998492
7,1,7,506.988899
8,1,8,339.6825623
9,1,9,227.5873167
10,1,10,152.6561477
11,1,11,499.9181207
12,1,12,931.8246556
13,2,1,3445.497587
14,2,2,3354.466844
15,2,3,2076.093018
16,2,4,1693.320321
17,2,5,1147.968853
18,2,6,769.1391317
19,2,7,515.3232182
20,2,8,345.2665562
21,2,9,231.3285927
22,2,10,155.6549647
23,2,11,1741.03033
24,2,12,17835.36609
25,3,1,2790.039647
26,3,2,4677.378632
27,3,3,2264.088052
28,3,4,1517.279447
29,3,5,1024.150738
30,3,6,686.1809943
31,3,7,459.7412662
32,3,8,308.0266484
33,3,9,206.3778544
34,3,10,138.3423284
35,3,11,1067.771469
36,3,12,1234.039405
37,4,1,1599.405547
38,4,2,1677.680558
39,4,3,1279.246393
40,4,4,857.4798401
41,4,5,574.5114929
42,4,6,384.9227002
43,4,7,257.8982092
44,4,8,172.7918001
45,4,9,116.7357604
46,4,10,78.33704496
47,4,11,139.2669584
48,4,12,4969.352641
49,5,1,1525.957959
50,5,2,1643.220436
51,5,3,1386.309029
52,5,4,1013.430003
53,5,5,678.9981023
54,5,6,463.2454024
55,5,7,310.3744196
56,5,8,207.9508611
57,5,9,139.3270769
58,5,10,116.4870547
59,5,11,195.2363868
60,5,12,780.2676757
61,6,1,11950.8655
62,6,2,1826.524314
63,6,3,1820.768278
64,6,4,1345.80572
65,6,5,902.6667653
66,6,6,613.4937656
67,6,7,411.0408229
68,6,8,275.3973514
69,6,9,202.4582034
70,6,10,144.6330806
71,6,11,110.5097702
72,6,12,870.7830227
