timestep,year,month,pet
1,1,1,132.1277955
2,1,2,123.9729567
3,1,3,155.6576337
4,1,4,169.1268083
5,1,5,165.2568946
6,1,6,141.6238093
7,1,7,142.1792713
8,1,8,167.3543007
9,1,9,194.3626287
10,1,10,194.5125377
11,1,11,171.7587409
12,1,12,144.0355567
13,2,1,134.233128
14,2,2,124.7147821
15,2,3,155.9404989
16,2,4,168.2684426
17,2,5,165.2568946
18,2,6,141.6238093
19,2,7,142.1792713
20,2,8,167.3543007
21,2,9,194.1426486
22,2,10,201.5113239
23,2,11,158.272865
24,2,12,112.657561
25,3,1,137.8964469
26,3,2,122.6782726
27,3,3,168.640075
28,3,4,168.6501087
29,3,5,165.2568946
30,3,6,141.6238093
31,3,7,142.1792713
32,3,8,167.3543007
33,3,9,194.3148136
34,3,10,197.8717079
35,3,11,160.9955631
36,3,12,150.3112772
37,4,1,139.4591971
38,4,2,143.9432154
39,4,3,168.4692659
40,4,4,169.7194426
41,4,5,165.2568946
42,4,6,141.6238093
43,4,7,142.1792713
44,4,8,167.1352355
45,4,9,194.2861228
46,4,10,203.9922635
47,4,11,174.8077849
48,4,12,128.6034716
49,5,1,141.9813095
50,5,2,140.1364129
51,5,3,162.867735
52,5,4,169.7194426
53,5,5,164.3377759
54,5,6,141.6238093
55,5,7,142.1792713
56,5,8,167.3543007
57,5,9,192.3415853
58,5,10,203.2118005
59,5,11,169.8360889
60,5,12,146.33417
61,6,1,120.5801737
62,6,2,129.9370952
63,6,3,161.3912769
64,6,4,169.4443723
65,6,5,164.3119828
66,6,6,141.6238093
67,6,7,142.1792713
68,6,8,165.9993352
69,6,9,193.2427796
70,6,10,208.2619799
71,6,11,172.710913
72,6,12,139.2227962
