timestep,year,month,kaoma_precip,min_temp,max_temp
1,1,1,242.5,18,29
2,1,2,209.1,18,29
3,1,3,97.6,17,29
4,1,4,5.6,14,29
5,1,5,0,10,28
6,1,6,0,6,26
7,1,7,0,6,26
8,1,8,0,9,29
9,1,9,0,13,32
10,1,10,124.6,17,33
11,1,11,152,17,31
12,1,12,158,18,29
13,2,1,228.8,18,29
14,2,2,203.7,18,29
15,2,3,95.5,17,29
16,2,4,13.7,14,29
17,2,5,0,10,28
18,2,6,0,6,26
19,2,7,0,6,26
20,2,8,0,9,29
21,2,9,2.3,13,32
22,2,10,68.6,17,33
23,2,11,252.6,17,31
24,2,12,361.4,18,29
25,3,1,204.8,18,29
26,3,2,218.5,18,29
27,3,3,0,17,29
28,3,4,10.1,14,29
29,3,5,0,10,28
30,3,6,0,6,26
31,3,7,0,6,26
32,3,8,0,9,29
33,3,9,0.5,13,32
34,3,10,97.8,17,33
35,3,11,232.5,17,31
36,3,12,115.5,18,29
37,4,1,194.5,18,29
38,4,2,60.3,18,29
39,4,3,1.3,17,29
40,4,4,0,14,29
41,4,5,0,10,28
42,4,6,0,6,26
43,4,7,0,6,26
44,4,8,2.8,9,29
45,4,9,0.8,13,32
46,4,10,48.6,17,33
47,4,11,128.9,17,31
48,4,12,260,18,29
49,5,1,177.8,18,29
50,5,2,89.2,18,29
51,5,3,43.7,17,29
52,5,4,0,14,29
53,5,5,10.7,10,28
54,5,6,0,6,26
55,5,7,0,6,26
56,5,8,0,9,29
57,5,9,21.1,13,32
58,5,10,54.9,17,33
59,5,11,166.5,17,31
60,5,12,142.5,18,29
61,6,1,316.4,18,29
62,6,2,165.4,18,29
63,6,3,54.8,17,29
64,6,4,2.6,14,29
65,6,5,11,10,28
66,6,6,0,6,26
67,6,7,0,6,26
68,6,8,17.3,9,29
69,6,9,11.7,13,32
70,6,10,14,17,33
71,6,11,144.8,17,31
72,6,12,190.2,18,29
