Year,Month,Season,Precipitation
1961,1,1,242.5
1961,2,1,209.1
1961,3,1,97.6
1961,4,1,5.6
1961,5,0,0
1961,6,0,0
1961,7,0,0
1961,8,0,0
1961,9,1,0
1961,10,1,124.6
1961,11,1,152
1961,12,1,158
1962,1,1,228.8
1962,2,1,203.7
1962,3,1,95.5
1962,4,1,13.7
1962,5,0,0
1962,6,0,0
1962,7,0,0
1962,8,0,0
1962,9,1,2.3
1962,10,1,68.6
1962,11,1,252.6
1962,12,1,361.4
1963,1,1,204.8
1963,2,1,218.5
1963,3,1,0
1963,4,1,10.1
1963,5,0,0
1963,6,0,0
1963,7,0,0
1963,8,0,0
1963,9,1,0.5
1963,10,1,97.8
1963,11,1,232.5
1963,12,1,115.5
1964,1,1,194.5
1964,2,1,60.3
1964,3,1,1.3
1964,4,1,0
1964,5,0,0
1964,6,0,0
1964,7,0,0
1964,8,0,2.8
1964,9,1,0.8
1964,10,1,48.6
1964,11,1,128.9
1964,12,1,260
1965,1,1,177.8
1965,2,1,89.2
1965,3,1,43.7
1965,4,1,0
1965,5,0,10.7
1965,6,0,0
1965,7,0,0
1965,8,0,0
1965,9,1,21.1
1965,10,1,54.9
1965,11,1,166.5
1965,12,1,142.5
1966,1,1,316.4
1966,2,1,165.4
1966,3,1,54.8
1966,4,1,2.6
1966,5,0,11
1966,6,0,0
1966,7,0,0
1966,8,0,17.3
1966,9,1,11.7
1966,10,1,14
1966,11,1,144.8
1966,12,1,190.2
1967,1,1,253.1
1967,2,1,70.8
1967,3,1,116.6
1967,4,1,22.3
1967,5,0,0
1967,6,0,0
1967,7,0,0
1967,8,0,0
1967,9,1,0
1967,10,1,48.2
1967,11,1,100.9
1967,12,1,178.8
1968,1,1,219.4
1968,2,1,181.1
1968,3,1,0.8
1968,4,1,12.4
1968,5,0,0
1968,6,0,0
1968,7,0,0
1968,8,0,0
1968,9,1,3
1968,10,1,31.3
1968,11,1,447
1968,12,1,208.6
1969,1,1,232.1
1969,2,1,123.8
1969,3,1,156.7
1969,4,1,0
1969,5,0,0
1969,6,0,0
1969,7,0,0
1969,8,0,0
1969,9,1,6.1
1969,10,1,147.4
1969,11,1,140
1969,12,1,203.3
1970,1,1,283.6
1970,2,1,20.4
1970,3,1,53.8
1970,4,1,15
1970,5,0,0
1970,6,0,0
1970,7,0,0
1970,8,0,0
1970,9,1,19.2
1970,10,1,38.2
1970,11,1,140.1
1970,12,1,317.2
1971,1,1,279.1
1971,2,1,137.7
1971,3,1,30.8
1971,4,1,11.2
1971,5,0,0
1971,6,0,0
1971,7,0,0
1971,8,0,0
1971,9,1,12
1971,10,1,27.5
1971,11,1,109.9
1971,12,1,122.1
1972,1,1,102
1972,2,1,174.2
1972,3,1,78.3
1972,4,1,4.9
1972,5,0,0
1972,6,0,0
1972,7,0,0
1972,8,0,2
1972,9,1,13.5
1972,10,1,22.2
1972,11,1,112.7
1972,12,1,298.2
1973,1,1,52.6
1973,2,1,78.1
1973,3,1,14.5
1973,4,1,4.6
1973,5,0,0
1973,6,0,0
1973,7,0,0
1973,8,0,0
1973,9,1,0
1973,10,1,129.9
1973,11,1,163
1973,12,1,286.3
1974,1,1,286.6
1974,2,1,320.7
1974,3,1,30.9
1974,4,1,14.2
1974,5,0,0
1974,6,0,0
1974,7,0,0
1974,8,0,0
1974,9,1,0
1974,10,1,89.7
1974,11,1,204.5
1974,12,1,321.4
1975,1,1,164.4
1975,2,1,110.8
1975,3,1,86.3
1975,4,1,0
1975,5,0,0
1975,6,0,0
1975,7,0,0
1975,8,0,0
1975,9,1,0
1975,10,1,15.6
1975,11,1,124.2
1975,12,1,159.2
1976,1,1,188
1976,2,1,219.9
1976,3,1,177.7
1976,4,1,14.2
1976,5,0,0
1976,6,0,0
1976,7,0,0
1976,8,0,0
1976,9,1,20.8
1976,10,1,57.9
1976,11,1,130.6
1976,12,1,228.4
1977,1,1,102.7
1977,2,1,310.8
1977,3,1,91.8
1977,4,1,0
1977,5,0,0
1977,6,0,0
1977,7,0,3.5
1977,8,0,0
1977,9,1,11
1977,10,1,16.4
1977,11,1,195.9
1977,12,1,144.9
1978,1,1,282.8
1978,2,1,227.8
1978,3,1,179.3
1978,4,1,19.8
1978,5,0,1.4
1978,6,0,0
1978,7,0,0
1978,8,0,0
