Year,Month,Season,Precipitation
1950,1,1,293.1
1950,2,1,97.8
1950,3,1,108.4
1950,4,1,0
1950,5,0,0
1950,6,0,0
1950,7,0,0
1950,8,0,0
1950,9,1,3
1950,10,1,41.7
1950,11,1,170.2
1950,12,1,280.7
1951,1,1,235.2
1951,2,1,63.2
1951,3,1,82.7
1951,4,1,0.8
1951,5,0,0
1951,6,0,0
1951,7,0,0
1951,8,0,2.5
1951,9,1,14.8
1951,10,1,169.4
1951,11,1,241.4
1951,12,1,371.1
1952,1,1,377
1952,2,1,289.5
1952,3,1,9
1952,4,1,0
1952,5,0,0
1952,6,0,0
1952,7,0,0
1952,8,0,0
1952,9,1,0.3
1952,10,1,158.2
1952,11,1,179.9
1952,12,1,206
1953,1,1,333.2
1953,2,1,221.1
1953,3,1,191
1953,4,1,13.7
1953,5,0,0
1953,6,0,0
1953,7,0,0
1953,8,0,0
1953,9,1,0.8
1953,10,1,81.8
1953,11,1,151
1953,12,1,162
1954,1,1,264
1954,2,1,183.7
1954,3,1,37.8
1954,4,1,0
1954,5,0,0
1954,6,0,0
1954,7,0,0
1954,8,0,0
1954,9,1,1
1954,10,1,48.4
1954,11,1,196.8
1954,12,1,257.3
1955,1,1,375
1955,2,1,151.7
1955,3,1,62.2
1955,4,1,20.6
1955,5,0,0
1955,6,0,0
1955,7,0,0
1955,8,0,0
1955,9,1,37.5
1955,10,1,55.1
1955,11,1,183.8
1955,12,1,304.2
1956,1,1,161.7
1956,2,1,363.4
1956,3,1,146
1956,4,1,73.4
1956,5,0,0
1956,6,0,0
1956,7,0,0
1956,8,0,0
1956,9,1,0
1956,10,1,170
1956,11,1,212.2
1956,12,1,268.7
1957,1,1,289.5
1957,2,1,218
1957,3,1,12.9
1957,4,1,1.3
1957,5,0,0
1957,6,0,0
1957,7,0,0
1957,8,0,0
1957,9,1,26.9
1957,10,1,75.5
1957,11,1,189.1
1957,12,1,244.3
1958,1,1,141.1
1958,2,1,260.8
1958,3,1,14.4
1958,4,1,0
1958,5,0,0
1958,6,0,0
1958,7,0,2
1958,8,0,56.1
1958,9,1,52.1
1958,10,1,191
1958,11,1,264.5
1958,12,1,197.9
1959,1,1,195.9
1959,2,1,134.4
1959,3,1,4.1
1959,4,1,8.9
1959,5,0,0
1959,6,0,0
1959,7,0,0
1959,8,0,0
1959,9,1,0
1959,10,1,42.8
1959,11,1,136.4
1959,12,1,229
1960,1,1,171.8
1960,2,1,191.6
1960,3,1,160.4
1960,4,1,32.8
1960,5,0,0
1960,6,0,0
1960,7,0,0
1960,8,0,0
1960,9,1,0
1960,10,1,36.3
1960,11,1,146.7
1960,12,1,272
1961,1,1,269.7
1961,2,1,266
1961,3,1,187.3
1961,4,1,5.1
1961,5,0,0
1961,6,0,0
1961,7,0,0
1961,8,0,0
1961,9,1,5.6
1961,10,1,74.1
1961,11,1,322.7
1961,12,1,178.1
1962,1,1,250.4
1962,2,1,287.2
1962,3,1,138.5
1962,4,1,43.5
1962,5,0,0
1962,6,0,0
1962,7,0,0
1962,8,0,0
1962,9,1,0
1962,10,1,45
1962,11,1,434.2
