,timestep,year,month,kaoma_precip,min_temp,max_temp,pet,soil_storage,ground_storage,et,it_baseflow,kg_baseflow,it_runoff,kg_runoff,it_streamflow,kg_streamflow,it_volume,it_hydro_demand,it_gated_release,it_spilled_release,it_outflow,kg_depth,kg_inflow,kg_hydro_demand,kg_gated_release,kg_hydro_release,kg_hydro_production,kg_hydro_shortfall,kg_spilled_release,kg_volume
0,1,1,1,242.5,18,29,132.17207846630302,28.283485865155768,225.8010209497727,75.41068831166658,1140.0,565.656,3516.0519576438933,1744.6279703096616,4656.051957643894,2310.283970309661,5999.935757047883,648.9067687313113,648.9067687313113,1861.7223159125824,2510.6290846438937,,,,,,,,,
1,2,1,2,209.1,18,29,123.88300680929045,28.16328108623917,268.56329498323396,70.98318989522198,1716.0877592182724,851.5046820424308,1988.1074818192687,986.4780050315444,3704.1952410375416,1837.9826870739755,5999.900001070716,591.3424586019208,591.3424586019208,3112.788539483503,3704.130998085424,,,,,,,,,
2,3,1,3,97.6,17,29,155.68411796303474,13.28997388291883,221.11046825921505,62.67046519629983,2041.0810418725782,1012.7629279135743,0.15562723987137872,0.07722059824270579,2041.2366691124494,1012.8401485118173,5999.900001666649,648.9067687313113,648.9067687313113,1392.229901451854,2041.1366701831653,394.95757398682787,3566.361847171614,668.493612924243,669.273612924243,668.493612924243,792.9241075577336,-0.9241075577335778,2647.0882342473715,899.9277777777778
3,4,1,4,5.6,14,29,169.2384249782607,0.7766095362012209,148.59886302375455,15.582097169851346,1680.439558770034,833.8164202242302,3.796962744218035e-12,1.8840129456521027e-12,1680.4395587700378,833.816420224232,5999.900001666639,627.9742923206239,627.9742923206239,1052.365268116063,1680.339560436687,398.0001677291769,2217.2620893524477,641.9837193650537,642.7637193650537,641.9837193650537,792.9622673930282,-0.9622673930282417,1574.4261477651717,899.9000080246914
4,5,1,5,0.0,10,28,165.0579731037594,0.005212106169063424,99.56123822591556,0.7549961028639861,1129.3513589805348,560.3722564170995,0.0,0.0,1129.3513589805348,560.3722564170995,5999.900001666639,648.9067687313113,648.9067687313113,480.3445919158621,1129.2513606471734,397.9998296632055,1689.5599487227803,663.3837401630865,664.1637401630865,663.3837401630865,792.9312257183875,-0.931225718387509,1025.296216584385,899.9000111102195
5,6,1,6,0.0,6,26,141.742887521006,0.0,66.70602961136342,0.0,756.6654105169583,375.44941179945664,0.0,0.0,756.6654105169583,375.44941179945664,5999.900001666639,627.9742923206239,627.9742923206239,128.59111986297285,756.5654121835968,397.9998297007684,1122.5353642524778,641.9842646133648,642.7642646133647,641.9842646133648,792.9622665757579,-0.9622665757578943,479.6711107493327,899.9000111098767
6,7,1,7,0.0,6,26,142.2375377903332,0.0,44.6930398396135,0.0,506.96582504636194,251.55110590563592,0.0,0.0,506.96582504636194,251.55110590563592,5857.859059648327,648.9067687313113,648.9067687313113,0.0,648.9067687313113,397.9998297007642,736.8068944341536,663.3837401004838,664.1637401004838,663.3837401004838,792.9312257184753,-0.9312257184752752,72.5431654435464,899.9000111098767
7,8,1,8,0.0,9,29,167.28172744520433,0.0,29.944336692541043,0.0,339.6671027810625,168.53924095677604,0.0,0.0,339.6671027810625,168.53924095677604,5548.521762713751,648.9067687313113,648.9067687313113,0.0,648.9067687313113,397.9998297007642,576.0739790686939,663.3837401004838,664.1637401004838,663.3837401004838,792.9312257184753,-0.9312257184752752,0.0,811.7102611879635
8,9,1,9,0.0,13,32,194.3965451700827,0.0,20.062705584002494,0.0,227.57695886331192,112.92129144103994,0.0,0.0,227.57695886331192,112.92129144103994,5148.0319538937265,627.9742923206239,627.9742923206239,0.0,627.9742923206239,396.92621722104093,518.1360295529579,643.720714080228,644.500714080228,643.720714080228,792.9596708424749,-0.9596708424749067,0.0,685.2553866316725
9,10,1,10,124.6,17,33,194.6764650743927,10.497434497962928,65.05715126341882,68.4421418994281,152.47656243841894,75.65726526549678,0.17167389093820873,0.08518277758995035,152.64823632935713,75.7424480430867,4651.687620959208,648.9067687313113,648.9067687313113,0.0,648.9067687313113,395.3867692515695,470.9344526675234,667.7679581591121,668.5479581591121,667.7679581591121,792.9251117734116,-0.9251117734115724,0.0,487.5657416526803
