timestep,month,year,kaoma_precip,min_temp,max_temp
0,1,1.0,279.1,17.8,26.3
1,2,1.0,72.1,17.2,26.8
2,3,1.0,91.8,16.8,27.1
3,4,1.0,14.2,15.7,26.0
4,5,1.0,0.0,11.1,25.6
5,6,1.0,0.0,7.7,23.9
6,7,1.0,0.0,9.4,24.9
7,8,1.0,0.0,8.9,26.7
8,9,1.0,0.8,14.4,31.0
9,10,1.0,97.8,16.8,29.6
10,11,1.0,35.1,17.4,31.2
11,12,1.0,185.5,17.0,26.0
12,1,2.0,232.1,17.8,26.3
13,2,2.0,203.7,17.5,27.6
14,3,2.0,156.7,16.8,27.1
15,4,2.0,2.6,13.7,26.0
16,5,2.0,0.0,11.1,25.6
17,6,2.0,0.0,11.0,25.5
18,7,2.0,0.0,8.2,24.7
19,8,2.0,0.0,9.0,23.0
20,9,2.0,23.2,13.3,28.9
21,10,2.0,47.6,16.2,31.2
22,11,2.0,140.1,17.4,31.2
23,12,2.0,40.9,17.3,30.2
24,1,3.0,52.6,16.4,27.7
25,2,3.0,47.1,17.1,27.9
26,3,3.0,53.8,16.8,27.1
27,4,3.0,1.1,15.7,26.0
28,5,3.0,0.0,10.9,23.6
29,6,3.0,0.0,7.1,21.9
30,7,3.0,0.0,7.6,23.3
31,8,3.0,0.0,10.1,26.1
32,9,3.0,2.3,15.3,30.5
33,10,3.0,41.1,16.2,31.2
34,11,3.0,75.9,15.8,29.6
35,12,3.0,178.8,17.2,26.0
36,1,4.0,102.7,16.9,28.6
37,2,4.0,165.4,17.1,27.9
38,3,4.0,48.3,16.6,27.5
39,4,4.0,0.4,17.0,26.0
40,5,4.0,0.0,10.2,24.6
41,6,4.0,0.0,7.1,21.5
42,7,4.0,0.0,8.5,22.4
43,8,4.0,0.0,9.0,23.0
44,9,4.0,0.0,14.4,31.0
45,10,4.0,23.6,14.5,29.0
46,11,4.0,152.0,18.2,30.0
47,12,4.0,208.1,17.3,30.2
48,1,5.0,242.5,17.8,26.3
49,2,5.0,181.1,17.5,27.6
50,3,5.0,59.7,16.9,26.7
51,4,5.0,14.2,17.0,26.0
52,5,5.0,0.0,10.4,26.0
53,6,5.0,0.0,7.1,21.5
54,7,5.0,0.0,9.4,24.9
55,8,5.0,0.0,8.9,26.7
56,9,5.0,3.8,14.4,31.0
57,10,5.0,188.8,16.9,27.9
58,11,5.0,35.1,18.4,31.3
59,12,5.0,158.0,17.0,26.0
60,1,6.0,219.4,16.9,28.6
61,2,6.0,41.0,17.1,27.9
62,3,6.0,59.7,16.9,26.7
63,4,6.0,12.4,13.5,26.0
64,5,6.0,0.0,10.9,23.6
65,6,6.0,0.0,7.1,21.9
66,7,6.0,0.0,9.6,22.7
67,8,6.0,32.5,11.5,27.2
68,9,6.0,11.7,15.3,30.1
69,10,6.0,97.1,16.9,27.9
70,11,6.0,163.0,18.1,31.2
71,12,6.0,286.3,17.2,26.0
72,1,7.0,219.4,16.9,28.6
73,2,7.0,209.1,14.9,27.0
74,3,7.0,14.5,16.8,27.1
75,4,7.0,10.1,13.5,26.0
76,5,7.0,0.0,12.8,28.4
77,6,7.0,0.0,7.7,23.9
78,7,7.0,0.0,9.6,22.7
79,8,7.0,0.0,8.9,26.7
80,9,7.0,2.3,14.3,29.8
81,10,7.0,147.4,16.9,27.9
82,11,7.0,152.0,18.2,30.0
83,12,7.0,178.8,17.2,26.0
84,1,8.0,237.9,17.8,26.3
85,2,8.0,272.9,17.9,26.5
86,3,8.0,78.3,16.8,28.5
87,4,8.0,4.6,13.7,26.0
88,5,8.0,0.0,10.2,24.6
89,6,8.0,0.0,7.1,21.5
90,7,8.0,0.0,7.6,23.3
91,8,8.0,17.3,11.5,27.2
92,9,8.0,0.2,14.3,29.8
93,10,8.0,23.6,14.5,29.0
94,11,8.0,447.0,15.8,29.6
95,12,8.0,144.9,17.3,30.2
96,1,9.0,282.8,17.8,26.3
97,2,9.0,194.3,17.5,27.6
98,3,9.0,88.8,15.3,28.0
99,4,9.0,0.0,17.0,26.0
100,5,9.0,0.0,12.8,28.4
101,6,9.0,0.0,7.1,21.5
102,7,9.0,0.0,7.6,23.3
103,8,9.0,2.8,8.9,26.7
104,9,9.0,6.1,14.3,29.8
105,10,9.0,147.4,14.5,29.0
106,11,9.0,71.4,18.1,31.2
107,12,9.0,233.0,17.8,27.7
108,1,10.0,286.6,16.9,28.6
109,2,10.0,261.0,14.9,27.0
110,3,10.0,53.8,16.8,27.1
111,4,10.0,6.0,15.7,26.0
112,5,10.0,0.0,10.9,23.6
113,6,10.0,0.0,10.6,26.0
114,7,10.0,0.0,8.7,24.5
115,8,10.0,0.0,11.2,27.5
116,9,10.0,6.1,15.3,30.5
117,10,10.0,55.2,17.6,33.2
118,11,10.0,195.9,17.4,31.2
119,12,10.0,339.7,17.0,26.0
120,1,11.0,194.5,16.4,27.7
121,2,11.0,137.7,17.5,27.6
122,3,11.0,88.8,15.3,28.0
123,4,11.0,7.7,13.5,26.0
